MTO_Number,Production_Orders,Materials
"踏板",1,05.27.01
"注塑多生产",5,"05.14.02.01,05.02.08.040,05.06.09.03,05.05.12.04,05.11.06"
"样品箱",6,03.03.001
"备货旧模",1,05.02.27.011
"备货",6,"05.14.01.01,05.02.03.003,05.02.03.028,05.02.08.040,05.07.01.10,05.02.21.02"
YF20260113-1,8,"05.02.04.190,05.02.15.66,05.02.20.22,05.02.22.03,05.02.03.018,05.02.14.32,05.02.29.04,06.02.163"
YF20260113,4,"05.02.04.190,05.02.15.66,05.02.14.32,05.02.29.04"
YF20260104,6,"05.05.27.02,05.05.03.014,05.05.22.09,05.05.22.08,05.05.20.06,05.05.01.060"
YF20251231,12,"05.08.02.02.033,05.05.31.001,05.05.03.019,05.05.03.018,05.05.22.09,05.05.22.08,05.05.20.06,05.05.01.060,05.05.08.26,05.05.31.002,06.03.093,06.03.094"
YF20251225,2,"05.07.36.01,07.05.31.01"
YF20251212,12,"06.04.091,05.06.05.065,05.06.09.29,05.06.08.057,05.20.03.01.047,05.06.11.100"
YF20251114,36,"05.02.14.29,05.02.26.55,05.02.20.49,05.02.19.05,05.02.22.09,05.02.03.074,05.02.14.30,05.02.21.17,05.20.01.11.068,05.02.27.082,05.02.04.185.001,06.02.161"
YF20251112,32,"05.05.27.03,05.05.28.03,05.05.05.085,05.05.05.084,05.05.11.28,05.05.28.02,05.05.05.083,05.05.05.082,05.05.11.27,06.03.085,06.03.084"
YF20251111,36,"05.02.04.185.003,05.02.14.29,05.02.26.55,05.02.04.185.002,05.02.20.49,05.02.19.05,05.02.22.09,05.02.03.074,05.02.14.30,05.02.21.17,05.20.01.11.068,05.02.27.082,05.02.04.185.001,06.02.161"
YF20251105,2,"05.05.28.04,05.05.27.03"
YF20251027,6,"05.02.26.16,05.02.04.095,05.02.20.27,05.20.01.11.025,05.02.27.052,06.02.108"
YF20251022,4,"05.14.003,05.14.001,05.14.002,07.32.005"
YF20251020,6,"05.02.08.067,05.02.08.066"
YF20250930,1,05.05.01.045
YF20250925,160,"05.02.03.075,05.02.04.186,05.05.03.004,05.05.08.02,05.02.12.44,05.02.14.29,01.22.010,05.02.04.185,05.07.36.01,01.22.009,05.05.03.014,05.02.09.12,05.02.27.083,05.02.03.076,05.20.01.09.024,05.02.20.49,05.02.19.05,05.02.22.09,05.02.03.074,05.02.14.30,05.02.21.17,05.02.26.55,05.02.27.082,05.02.04.185.001,05.20.04.01.28.01,05.05.27.03,05.05.28.03,05.05.05.085,05.05.05.084,05.05.11.28,05.05.01.061,05.05.20.06,05.05.22.09,05.05.22.08,05.05.01.060,05.05.27.02,05.05.10.064,05.08.01.02.023,06.02.162,06.02.161,07.05.31.01,06.03.085,06.03.083.02,06.03.083.01"
YF20250924,20,"05.07.35.01,05.05.27.03,05.05.28.02,05.05.05.083,05.05.05.082,05.05.11.27,05.20.04.01.27.01,06.03.084,07.05.30.01"
YF20250915,1,05.02.04.162
YF20250901,1,05.02.14.27
YF20250825,14,"05.02.14.25,05.02.26.50,05.02.01.52,05.02.20.46,05.02.27.077,05.02.04.167.007,05.02.04.167.003,06.02.140"
YF20250731,9,06.02.138
WS2601006,3,"03.03.001,03.04.001,07.25.80"
WS2601005,3,"03.03.001,03.04.001,07.25.80"
WS2601004,12,"05.02.08.066,05.02.08.068,05.02.08.067,05.20.01.01.043,05.20.01.01.041,07.23.040"
WS2601003,6,"03.03.001,03.04.001,07.25.80"
WS2601002,6,"03.03.001,03.04.001,05.01.91,07.25.84"
WS2601001,25,"05.02.04.107,05.02.15.48,05.02.26.34,05.02.01.34,05.02.20.37,05.02.20.36,05.20.01.11.044,05.02.12.39,03.03.001,03.04.001,03.02.02.165,05.20.01.01.042,07.02.121"
WS2512005,21,"05.02.04.113,05.02.15.67,05.02.26.16,05.02.12.47,05.02.04.044,05.02.08.040,05.02.03.034,05.02.01.20,05.20.01.11.025,05.02.27.026,05.02.20.34,05.02.20.33,05.20.01.09.098,03.02.02.150,03.04.001,03.03.001,03.02.02.165,05.20.01.01.042,07.02.044,07.02.129"
WS2512004,1,07.33.010
WS2512003,3,"03.03.001,03.04.001,07.25.80"
WS2512002,5,"03.03.001,03.04.001,07.25.80"
WS2512001,1,07.33.010
WS2511008,4,"03.03.001,03.04.001,05.01.85,07.25.80"
WS2511007,3,"03.03.001,03.04.001,07.25.80"
WS2511006,6,"03.03.001,03.04.001,05.01.85,07.25.80"
WS2511005,13,"05.02.08.040,05.02.20.02,05.02.04.189,03.03.001,03.04.001,03.02.02.165,05.20.01.01.042,07.02.022"
WS2511002,4,"03.03.001,03.04.001,05.01.85,07.01.80"
